Arquivo , Merge-Sort, Merge-Sort-Aleatorio 
a100, 41.000000 , 35.000000
a100, 36.000000 , 42.000000
a100, 46.000000 , 30.000000
a100, 30.000000 , 31.000000
a100, 33.000000 , 35.000000
a200, 34.000000 , 33.000000
a200, 38.000000 , 32.000000
a200, 32.000000 , 35.000000
a200, 31.000000 , 32.000000
a200, 30.000000 , 45.000000
a500, 52.000000 , 49.000000
a500, 48.000000 , 55.000000
a500, 32.000000 , 42.000000
a500, 50.000000 , 54.000000
a500, 50.000000 , 55.000000
a1000, 52.000000 , 36.000000
a1000, 36.000000 , 45.000000
a1000, 68.000000 , 45.000000
a1000, 51.000000 , 55.000000
a1000, 55.000000 , 53.000000
a2000, 55.000000 , 63.000000
a2000, 63.000000 , 65.000000
a2000, 47.000000 , 61.000000
a2000, 63.000000 , 65.000000
a2000, 60.000000 , 69.000000
a5000, 75.000000 , 117.000000
a5000, 71.000000 , 116.000000
a5000, 52.000000 , 90.000000
a5000, 66.000000 , 123.000000
a5000, 71.000000 , 110.000000
a7500, 69.000000 , 154.000000
a7500, 76.000000 , 134.000000
a7500, 68.000000 , 138.000000
a7500, 42.000000 , 145.000000
a7500, 63.000000 , 166.000000
