Arquivo , Merge-Sort, Merge-Sort-Aleatorio 
a100, 31.600000 , 33.200000
a200, 40.400000 , 38.400000
a500, 43.600000 , 48.200000
a1000, 42.200000 , 42.600000
a2000, 42.800000 , 49.600000
a5000, 43.200000 , 67.200000
a7500, 50.800000 , 102.400000
a10000, 44.200000 , 136.200000
a15000, 58.200000 , 278.000000
a30000, 78.600000 , 868.600000
a50000, 76.200000 , 2418.200000
a75000, 97.000000 , 4835.800000
a100000, 124.400000 , 8581.600000
a200000, 209.600000 , 34617.000000
a500000, 569.000000 , 214429.800000
a750000, 723.200000 , 509102.600000
a1000000, 1057.400000 , 991738.400000
