Arquivo , Merge-Sort, Merge-Sort-Aleatorio 
a100, 36.800000 , 34.400000
a200, 36.600000 , 36.200000
a500, 39.600000 , 41.000000
a1000, 56.400000 , 57.200000
a2000, 55.200000 , 60.200000
a5000, 50.600000 , 79.800000
a7500, 61.200000 , 132.600000
a10000, 63.600000 , 213.600000
a15000, 79.200000 , 366.000000
a30000, 95.400000 , 1224.400000
a50000, 106.600000 , 3197.600000
a75000, 155.200000 , 7072.000000
a100000, 193.400000 , 15420.200000
a200000, 219.400000 , 36078.200000
a500000, 527.000000 , 228579.400000
a750000, 762.200000 , 520723.600000
a1000000, 983.600000 , 892390.800000
a1250000, 1396.400000 , 1897580.000000
a1500000, 1542.600000 , 1997092.400000
Arquivo , Merge-Sort, Merge-Sort-Aleatorio 
