Arquivo , Merge-Sort, Merge-Sort-Aleatorio 
d100, 31.200000 , 32.800000
d200, 33.000000 , 34.400000
d500, 30.000000 , 29.400000
d1000, 33.600000 , 32.400000
d2000, 32.000000 , 37.400000
d5000, 38.800000 , 78.600000
d7500, 37.000000 , 138.600000
d10000, 41.000000 , 225.800000
d15000, 44.000000 , 466.200000
d30000, 58.200000 , 1735.400000
Arquivo , Merge-Sort, Merge-Sort-Aleatorio 
d100, 40.800000 , 35.800000
d200, 38.200000 , 36.400000
d500, 30.600000 , 34.400000
d1000, 29.400000 , 29.400000
d2000, 34.800000 , 43.200000
d5000, 47.000000 , 100.400000
d7500, 44.400000 , 146.800000
d10000, 36.400000 , 226.400000
d15000, 36.600000 , 427.200000
d30000, 53.200000 , 1637.000000
d50000, 69.800000 , 4832.600000
d75000, 125.200000 , 13272.400000
d100000, 125.200000 , 17880.400000
d200000, 198.400000 , 74671.200000
d500000, 447.400000 , 438902.000000
d750000, 661.400000 , 1003861.200000
d1000000, 1077.600000 , 3031945.600000
