Arquivo , Merge-Sort, Merge-Sort-Aleatorio 
o100, 30.600000 , 31.000000
o200, 27.600000 , 29.200000
o500, 28.000000 , 27.600000
o1000, 31.400000 , 30.600000
o2000, 26.600000 , 26.800000
o5000, 32.400000 , 28.800000
o7500, 34.000000 , 29.400000
o10000, 36.200000 , 29.800000
o15000, 37.200000 , 31.800000
o30000, 49.000000 , 38.600000
o50000, 66.600000 , 44.000000
o75000, 86.000000 , 52.200000
o100000, 106.600000 , 61.800000
o200000, 197.400000 , 100.400000
o500000, 430.200000 , 202.600000
o750000, 619.200000 , 291.000000
o1000000, 827.400000 , 378.200000
o1250000, 1027.200000 , 467.400000
o1500000, 1221.600000 , 554.400000
o2000000, 1647.800000 , 731.000000
