Arquivo , Merge-Sort, Merge-Sort-Aleatorio 
po100, 32.800000 , 35.400000
po200, 39.400000 , 37.000000
po500, 30.400000 , 34.200000
po1000, 38.400000 , 44.600000
po2000, 36.600000 , 35.200000
po5000, 38.800000 , 38.200000
po7500, 41.800000 , 32.200000
po10000, 44.800000 , 34.200000
po15000, 45.200000 , 32.000000
po30000, 69.600000 , 49.000000
po50000, 82.200000 , 58.800000
po75000, 93.000000 , 62.600000
po100000, 127.800000 , 75.200000
po200000, 220.600000 , 113.600000
po500000, 495.200000 , 236.400000
po750000, 718.600000 , 319.000000
po1000000, 954.600000 , 466.000000
po1250000, 1119.600000 , 498.400000
po1500000, 1268.200000 , 556.800000
po2000000, 1681.400000 , 748.600000
